ID_class_2024;class_2024;collective housing;individual housing;administrative;school;commercial;restaurant;gathering places;hospital;industry;shed, warehouse;sports facilities;covered swimming-pool;other
1.1;Habitat collectif;0.85;;;;;;;;;;;;
1.2;Habitat individuel;;0.9;;;;;;;;;;;
2.1;Chambre d'hôtel;;;;;;;;;;;;;
2.2;Réception, zone d'accueil;;;;;;;;;;;;;
3.1;Bureau individuel;;;0.4;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;0.05;
3.2;Bureau paysagé;;;0.15;;;;;;;;;;
3.3;Salle de réunion;;;0.05;;;;;;;;;;
3.4;Halle des guichets;;;0.05;;;;;;;;;;
4.1;Salle d'école;;;;0.45;;;;;;;;;
4.2;Salle des maîtres;;;;0.04;;;;;;;;;
4.3;Bibliothèque;;;;0.04;;;;;;;;;
4.4;Auditoire;;;;;;;;;;;;;
4.5;Locaux spéciaux;;;;;;;;;;;;;
5.1;Magasin d'alimentation;;;;0.05;;;;;;;;;
5.2;Magasin grande surface;;;;;0.6;;;;;;;;
5.3;Magasin de meubles;;;;;;;;;;;;;
6.1;Restaurant;;;;;;0.6;;;;;;;
6.2;Restaurant self-service;;;;;;;;;;;;;
6.3;Cuisine de restaurant;;;;;;0.1;;;;;;;
6.4;Cuisine de restaurant de self-service;;;;;;;;;;;;;
7.1;Salle de spectacles;;;;;;;0.2;;;;;;
7.2;Salle polyvalente;;;;;;;0.2;;;;;;
7.3;Halle d'exposition;;;;;;;0.2;;;;;;
8.1;Chambre d'hôpital;;;;;;;;0.4;;;;;
8.2;Bureau de service hospitalier;;;;;;;;0.05;;;;;
8.3;Locaux médicaux;;;;;;;;0.1;;;;;
9.1;Production (lourde);;;;;;;;;0.1;;;;
9.2;Production (fin);;;;;;;;;0.5;;;;
9.3;Laboratoire;;;;;;;;;;;;;
10.1;Entrepôt;;;;;;;;;;0.7;;;1
11.1;Salle de gymnastique;;;;;;;;;;;0.6;;
11.2;Salle de fitness;;;;;;;;;;;;;
11.3;Piscine couverte;;;;;;;;;;;;0.6;
12.1;Surface de dégagement;;;0.2;0.2;0.2;0.1;0.2;0.1;0.1;0.15;0.1;0.1;
12.2;Surface de dégagement 24h;;;;;;;;0.1;0.1;;;;
12.3;Cage d'escalier;0.1;;0.05;0.05;0.05;;;0.05;0.05;;;;
12.4;Local annexe;0.05;0.1;0.05;0.1;0.07;0.1;0.1;0.1;0.09;0.09;0.1;0.1;
12.5;Cuisine, cuisine de thé;;;0.02;;;;;;;;;;
12.6;WC, salle de bain, douche;;;;;;;;;;;0.05;;
12.7;WC;;;0.02;0.02;0.01;0.01;0.05;0.05;0.01;0.01;0.05;0.05;
12.8;Vestiaire, douche;;;;;0.02;0.02;;;;;0.1;0.1;
12.9;Garage collectif;;;;;;;;;;;;;
12.10;Buanderie;;;;;;;;;;;;;
12.11;Chambre froide;;;;;;0.02;;;;;;;
12.12;Salle des serveurs;;;0.01;;;;;;;;;;
