t,demwdy_def,demwnd_def,EV_cpfwdy,EV_cpfwnd,EV_outwdy,EV_outwnd,Bike_prfwdy,Bike_prfwnd,EV_aworkwdy,EV_atravelwdy,EV_aleisurewdy,EV_aleisurewnd,EV_aworkwnd,EV_atravelwnd,EBike_cpfwdy,EBike_cpfwnd
1,0.0041952317784506,0.011817690362458,0.017,0.017,0.0,0.0,0.002,0.002,0.005629,0.004371,0.0,0.0,0.0,0.01,0.0,0.017
2,0.0030743026765148,0.0086601072432155,0.023,0.023,0.0,0.0,0.001,0.001,0.00677,0.00323,0.0,0.0,0.000831,0.009169,0.0,0.006
3,0.0027919648342836,0.0085797602412901,0.027,0.027,0.0,0.0,0.001,0.001,0.007072,0.002928,0.0,0.0,0.000916,0.009084,0.0,0.004
4,0.0045239288668662,0.0056638259172686,0.013,0.013,0.0,0.0,0.001,0.001,0.005219,0.004781,0.0,0.0,0.004022,0.005978,0.0,0.003
5,0.0063681984013522,0.0049486327104088,0.011,0.011,0.01,0.01,0.001,0.001,0.003246,0.006754,0.0,0.0,0.004784,0.005216,0.01,0.004
6,0.0202108097755301,0.0085398770979213,0.012,0.012,0.02,0.02,0.01,0.01,0.0,0.02,0.0,0.0,0.011458,0.008542,0.02,0.005
7,0.0629683790089744,0.0150088871871882,0.019,0.019,0.08,0.08,0.02,0.02,0.013808,0.066192,0.0,0.0,0.065121,0.014879,0.08,0.01
8,0.079736158844634,0.0335419816261822,0.034,0.034,0.2,0.2,0.031,0.031,0.116512,0.083488,0.0,0.0,0.16599,0.03401,0.2,0.019
9,0.0581365339638822,0.0584881320895191,0.059,0.059,0.31,0.31,0.02,0.02,0.248977,0.061023,0.0,0.0,0.248808,0.061192,0.31,0.03
10,0.0482085602158901,0.0814801947836642,0.083,0.083,0.35,0.35,0.019,0.019,0.282897,0.050462,0.016641,0.0149073888888889,0.253425611111111,0.081667,0.35,0.034
11,0.0465602645695289,0.0855372944708056,0.1,0.1,0.38,0.38,0.019,0.019,0.312895388888889,0.048699,0.0184056111111111,0.0161851666666667,0.275147833333333,0.088667,0.38,0.036
12,0.0650541659561356,0.0722541509917477,0.112,0.112,0.39,0.39,0.03,0.03,0.2737476,0.067944,0.0483084,0.04720485,0.26749415,0.075301,0.39,0.042
13,0.0592102158947593,0.0625467228055899,0.121,0.121,0.39,0.39,0.029,0.029,0.263514213888889,0.061747,0.0647387861111111,0.0640940666666667,0.260889933333333,0.065016,0.39,0.043
14,0.0649953994916889,0.0732350961033859,0.13,0.13,0.38,0.38,0.03,0.03,0.294779055555556,0.067881,0.0173399444444444,0.0168697222222222,0.286785277777778,0.076345,0.38,0.045
15,0.0508663353727681,0.0760724247525046,0.135,0.135,0.38,0.38,0.022,0.022,0.308639722222222,0.053205,0.0181552777777778,0.0166771666666667,0.283511833333333,0.079811,0.38,0.047
16,0.05960249414659,0.0749237161535809,0.159,0.159,0.36,0.36,0.023,0.023,0.264448888888889,0.062495,0.0330561111111111,0.0312742222222222,0.250193777777778,0.078532,0.36,0.067
17,0.0820204746075884,0.0816830178455167,0.202,0.202,0.31,0.31,0.03,0.03,0.211259555555556,0.072333,0.0264074444444444,0.0264074444444444,0.211259555555556,0.072333,0.31,0.088
18,0.0960265690582134,0.0754885093670248,0.266,0.266,0.24,0.24,0.034,0.034,0.12175275,0.100854,0.01739325,0.0201845,0.1412915,0.078524,0.24,0.111
19,0.0775277454329266,0.0607695386802716,0.308,0.308,0.18,0.18,0.026,0.026,0.086184,0.081504,0.012312,0.014588875,0.102122125,0.063289,0.18,0.109
20,0.0497623894913514,0.0438816080055866,0.307,0.307,0.13,0.13,0.02,0.02,0.02919975,0.052134,0.04866625,0.052729375,0.031637625,0.045633,0.13,0.087
21,0.0325765493522689,0.0318122078746587,0.265,0.265,0.09,0.09,0.015,0.015,0.006996875,0.034025,0.048978125,0.04982775,0.00711825,0.033054,0.09,0.069
22,0.0255833282598011,0.0250666236902102,0.214,0.214,0.05,0.05,0.01,0.01,0.0042592222222222,0.011667,0.0340737777777778,0.0340737777777778,0.0042592222222222,0.011667,0.05,0.058
23,0.0,0.0,0.17,0.17,0.03,0.03,0.009,0.009,0.0033333333333333,0.0,0.0266666666666667,0.0266666666666667,0.0033333333333333,0.0,0.03,0.043
24,0.0,0.0,0.124,0.124,0.01,0.01,0.001,0.001,0.0011111111111111,0.0,0.0088888888888888,0.0088888888888888,0.0011111111111111,0.0,0.01,0.023
