IndexYr,inter_t
1,259
2,56
3,79
4,340
5,340
6,340
7,340
8,56
9,56
10,360
11,360
12,360
13,360
14,360
15,56
16,56
17,360
18,340
19,340
20,340
21,340
22,259
23,56
24,360
25,360
26,79
27,340
28,340
29,56
30,56
31,79
32,79
33,79
34,340
35,360
36,56
37,56
38,340
39,360
40,360
41,360
42,340
43,56
44,56
45,360
46,360
47,340
48,79
49,340
50,56
51,56
52,79
53,79
54,79
55,79
56,340
57,56
58,259
59,79
60,79
61,79
62,79
63,340
64,56
65,259
66,79
67,360
68,340
69,340
70,79
71,56
72,259
73,79
74,79
75,79
76,206
77,79
78,259
79,259
80,79
81,206
82,206
83,79
84,79
85,259
86,259
87,206
88,79
89,206
90,206
91,79
92,259
93,259
94,206
95,283
96,206
97,206
98,206
99,225
100,225
101,283
102,206
103,206
104,206
105,206
106,259
107,259
108,206
109,79
110,206
111,79
112,206
113,259
114,259
115,206
116,206
117,206
118,206
119,79
120,56
121,259
122,283
123,206
124,240
125,283
126,283
127,259
128,259
129,206
130,283
131,206
132,206
133,283
134,259
135,259
136,283
137,283
138,206
139,206
140,240
141,225
142,225
143,283
144,283
145,283
146,240
147,240
148,225
149,225
150,240
151,240
152,191
153,240
154,283
155,225
156,259
157,240
158,240
159,206
160,206
161,206
162,225
163,225
164,191
165,191
166,283
167,283
168,283
169,225
170,225
171,191
172,240
173,240
174,240
175,240
176,225
177,225
178,283
179,240
180,283
181,191
182,240
183,225
184,225
185,283
186,283
187,240
188,283
189,240
190,225
191,225
192,191
193,191
194,191
195,240
196,240
197,225
198,225
199,240
200,240
201,240
202,191
203,240
204,225
205,225
206,283
207,206
208,240
209,240
210,240
211,259
212,225
213,283
214,240
215,283
216,283
217,283
218,259
219,225
220,240
221,283
222,283
223,240
224,240
225,225
226,225
227,283
228,283
229,240
230,240
231,191
232,225
233,225
234,283
235,240
236,240
237,240
238,283
239,225
240,225
241,240
242,240
243,240
244,283
245,240
246,225
247,225
248,240
249,240
250,283
251,283
252,283
253,259
254,259
255,206
256,283
257,240
258,283
259,206
260,259
261,259
262,206
263,206
264,206
265,283
266,283
267,225
268,259
269,206
270,206
271,206
272,206
273,206
274,259
275,259
276,206
277,206
278,206
279,206
280,283
281,259
282,259
283,283
284,283
285,206
286,206
287,206
288,259
289,259
290,206
291,206
292,206
293,206
294,206
295,259
296,259
297,79
298,79
299,79
300,79
301,340
302,259
303,259
304,79
305,340
306,340
307,340
308,340
309,56
310,259
311,79
312,79
313,79
314,206
315,206
316,259
317,259
318,79
319,79
320,79
321,79
322,79
323,259
324,259
325,79
326,79
327,79
328,340
329,79
330,56
331,56
332,340
333,360
334,340
335,340
336,360
337,56
338,56
339,340
340,340
341,340
342,340
343,340
344,56
345,56
346,340
347,340
348,340
349,79
350,79
351,56
352,259
353,79
354,79
355,360
356,340
357,340
358,56
359,56
360,360
361,360
362,360
363,340
364,340
365,56
