,tanb,beta,azimuth,id_building
40279,0.0,0.0,0,0
40279,0.0,0.0,12,0
40279,-0.011404303794451754,-0.6533901504524801,24,40279
40279,-0.03825675321491569,-2.190882070806716,36,40279
40279,-0.06343719894361842,-3.629819842916332,48,40279
40279,-0.08584513467303122,-4.906534785013143,60,40279
40279,-0.10450122608657342,-5.965825479703717,72,40279
40279,-0.11859011246761435,-6.763126302638158,84,40279
40279,-0.12749604187532484,-7.2657852907287745,96,40279
40279,-0.1305832797532413,-7.439773739956584,108,40279
40279,-0.12772972178658432,-7.278959618785208,120,40279
40279,-0.1192937620626466,-6.8028800495510975,132,40279
40279,-0.10564409250159021,-6.030591857201341,144,40279
40279,-0.08737726916161478,-4.993665993531842,156,40279
40279,-0.06529163987662064,-3.7356330910622604,168,40279
40279,-0.04035245262496956,-2.310771547048037,180,40279
40279,-0.01364966956105637,-0.7820198930604547,192,40279
40279,0.0,0.0,204,0
40279,0.0,0.0,216,0
40279,0.0,0.0,228,0
40279,0.0,0.0,240,0
40279,0.0,0.0,252,0
40279,0.0,0.0,264,0
40279,0.0,0.0,276,0
40279,0.0,0.0,288,0
40279,0.0,0.0,300,0
40279,0.0,0.0,312,0
40279,0.0,0.0,324,0
40279,0.0,0.0,336,0
40279,0.0,0.0,348,0
40279,0.0,0.0,15,0
40279,-0.024967301997397395,-1.4302238952677342,30,40279
40279,-0.05736073808904777,-3.2829307969305193,45,40279
40279,-0.10847932719484028,-6.191197836922685,75,40279
40279,-0.12372083283888537,-7.052841696556616,90,40279
40279,-0.13040431990670573,-7.429691778089291,105,40279
40279,-0.1163505542100528,-6.636555699619819,135,40279
40279,-0.09704228864248823,-5.542757955420414,150,40279
40279,-0.07112075147390269,-4.06806913923076,165,40279
40279,-0.006834200815225718,-0.3915647669526326,195,40279
40279,0.0,0.0,210,0
40279,0.0,0.0,225,0
40279,0.0,0.0,255,0
40279,0.0,0.0,270,0
40279,0.0,0.0,285,0
40279,0.0,0.0,315,0
40279,0.0,0.0,330,0
40279,0.0,0.0,345,0
40279,-0.0022836423473698818,-0.13084284097251123,20,40279
40279,-0.046892342810298374,-2.6847666499299447,40,40279
40279,-0.11444373635494151,-6.528738858263374,80,40279
40279,-0.12923873442278186,-7.364015539101822,100,40279
40279,-0.11074090178459826,-6.319238139495524,140,40279
40279,-0.08039509466574371,-4.596413852067105,160,40279
40279,0.0,0.0,200,0
40279,0.0,0.0,220,0
40279,0.0,0.0,260,0
40279,0.0,0.0,280,0
40279,0.0,0.0,320,0
40279,0.0,0.0,340,0
40123,0.06297940148860648,3.6036943601807754,0,40123
40123,0.02562725843147876,1.4680124293724928,12,40123
40123,0.0,0.0,24,0
40123,0.0,0.0,36,0
40123,0.0,0.0,48,0
40123,0.0,0.0,60,0
40123,0.0,0.0,72,0
40123,0.0,0.0,84,0
40123,0.0,0.0,96,0
40123,0.0,0.0,108,0
40123,0.0,0.0,120,0
40123,0.0,0.0,132,0
40123,0.0,0.0,144,0
40123,0.0,0.0,156,0
40123,0.0,0.0,168,0
40123,0.0,0.0,180,0
40123,0.0,0.0,192,0
40123,0.0235183703026415,1.3472550009092332,204,40123
40123,0.06282820766348352,3.5950657346392676,216,40123
40123,0.09939215086624198,5.676108700001374,228,40123
40123,0.1316121801396904,7.49772932456423,240,40123
40123,0.15808012559572535,8.982989939153216,252,40123
40123,0.17763921101062438,10.072901746291162,264,40123
40123,0.18943461049685156,10.72669811036263,276,40123
40123,0.19295080849625235,10.9210565389091,288,40123
40123,0.18803413028366286,10.649216463379313,300,40123
40123,0.17491528870668285,9.921536063946299,312,40123
40123,0.15565612259846862,8.84744040766294,324,40123
40123,0.12959403701175548,7.384037537247328,336,40123
40123,0.09786807014644479,5.589626612204153,348,40123
40123,0.016048810637787212,0.9194501819831293,15,40123
40123,0.0,0.0,30,0
40123,0.0,0.0,45,0
40123,0.0,0.0,75,0
40123,0.0,0.0,90,0
40123,0.0,0.0,105,0
40123,0.0,0.0,135,0
40123,0.0,0.0,150,0
40123,0.0,0.0,165,0
40123,0.0,0.0,195,0
40123,0.04341109952845774,2.48571210991197,210,40123
40123,0.09059871622884308,5.176791019057095,225,40123
40123,0.16365649147342937,9.29443176106995,255,40123
40123,0.18454788336839373,10.456168983320065,270,40123
40123,0.19286264199159928,10.91618620987763,285,40123
40123,0.17078977857273098,9.692019527392818,315,40123
40123,0.14341069861744749,8.161182023116037,330,40123
40123,0.10625841654876995,6.065399294564621,345,40123
40123,1.2972281833932165e-16,7.432569997385405e-15,20,40123
40123,0.0,0.0,40,0
40123,0.0,0.0,80,0
40123,0.0,0.0,100,0
40123,0.0,0.0,140,0
40123,0.0,0.0,160,0
40123,0.01009980331946553,0.5786564291716397,200,40123
40123,0.07540337144535397,4.3121348427023936,220,40123
40123,0.17194661752027168,9.756410535741,260,40123
40123,0.19154175516610206,10.843201169059418,280,40123
40123,0.16287982112196925,9.251087242572105,320,40123
40123,0.11958411460474953,6.8192820394644755,340,40123
