t,demwdy,demwnd,EV_pliwdy,EV_pliwnd,EV_outwdy,EV_outwnd,Bike_prfwdy,Bike_prfwnd,EV_aworkwdy,EV_atravelwdy,EV_aleisurewdy,EV_aleisurewnd,EV_aworkwnd,EV_atravelwnd,EBike_pliwdy,EBike_pliwnd
1,0.00406056445116614,0.0113906585791449,0.017,0.017,0.0,0.0,0.002,0.002,0.005629,0.004371,0,0,0,0.01,0.0,0.017
2,0.00297561727685792,0.00834717460356024,0.006,0.006,0.0,0.0,0.001,0.001,0.00677,0.00323,0,0,0.000831,0.009169,0.0,0.006
3,0.00270234250542053,0.00826973093743599,0.004,0.004,0.0,0.0,0.001,0.001,0.007072,0.002928,0,0,0.000916,0.009084,0.0,0.004
4,0.00437871033270663,0.00545916378722081,0.003,0.003,0.0,0.0,0.001,0.001,0.005219,0.004781,0,0,0.004022,0.005978,0.0,0.003
5,0.00616377864491998,0.00476981405917728,0.004,0.004,0.01,0.01,0.001,0.001,0.003246,0.006754,0,0,0.004784,0.005216,0.01,0.004
6,0.0195620409163914,0.00823128896990733,0.005,0.005,0.02,0.02,0.01,0.01,0,0.02,0,0,0.011458,0.008542,0.02,0.005
7,0.0609470882311588,0.014466541630272,0.01,0.01,0.08,0.08,0.02,0.02,0.013808,0.066192,0,0,0.065121,0.014879,0.08,0.01
8,0.0771766207865218,0.0323299434198684,0.019,0.019,0.2,0.2,0.031,0.031,0.116512,0.083488,0,0,0.16599,0.03401,0.2,0.019
9,0.0562703458579662,0.0563746657028733,0.03,0.03,0.31,0.31,0.02,0.02,0.248977,0.061023,0,0,0.248808,0.061192,0.31,0.03
10,0.0466610609835808,0.0785359111025054,0.034,0.034,0.35,0.35,0.019,0.019,0.282897,0.050462,0.016641,0.0149073888888889,0.253425611111111,0.081667,0.35,0.034
11,0.0450656757795962,0.0824464076496642,0.036,0.036,0.38,0.38,0.019,0.019,0.312895388888889,0.048699,0.0184056111111111,0.0161851666666667,0.275147833333333,0.088667,0.38,0.036
12,0.0629659212248097,0.0696432500455016,0.042,0.042,0.39,0.39,0.03,0.03,0.2737476,0.067944,0.0483084,0.04720485,0.26749415,0.075301,0.39,0.042
13,0.0573095624997673,0.0602865994006888,0.043,0.043,0.39,0.39,0.029,0.029,0.263514213888889,0.061747,0.0647387861111111,0.0640940666666667,0.260889933333333,0.065016,0.39,0.043
14,0.0629090411692955,0.0705887487435423,0.045,0.045,0.38,0.38,0.03,0.03,0.294779055555556,0.067881,0.0173399444444444,0.0168697222222222,0.286785277777778,0.076345,0.38,0.045
15,0.0492335213126253,0.0733235506318713,0.047,0.047,0.38,0.38,0.022,0.022,0.308639722222222,0.053205,0.0181552777777778,0.0166771666666667,0.283511833333333,0.079811,0.38,0.047
16,0.0576892485835092,0.0722163505736574,0.067,0.067,0.36,0.36,0.023,0.023,0.264448888888889,0.062495,0.0330561111111111,0.0312742222222222,0.250193777777778,0.078532,0.36,0.067
17,0.0793876098026559,0.0787314051608773,0.088,0.088,0.31,0.31,0.03,0.03,0.211259555555556,0.072333,0.0264074444444444,0.0264074444444444,0.211259555555556,0.072333,0.31,0.088
18,0.092944107328732,0.0727607350062191,0.111,0.111,0.24,0.24,0.034,0.034,0.12175275,0.100854,0.01739325,0.0201845,0.1412915,0.078524,0.24,0.111
19,0.0750390976491544,0.0585736337548732,0.109,0.109,0.18,0.18,0.026,0.026,0.086184,0.081504,0.012312,0.014588875,0.102122125,0.063289,0.18,0.109
20,0.0481650121958901,0.0422959478007124,0.087,0.087,0.13,0.13,0.02,0.02,0.02919975,0.052134,0.04866625,0.052729375,0.031637625,0.045633,0.13,0.087
21,0.0315308391114286,0.0306626749758276,0.069,0.069,0.09,0.09,0.015,0.015,0.006996875,0.034025,0.048978125,0.04982775,0.00711825,0.033054,0.09,0.069
22,0.0247621010614641,0.0241608422144935,0.058,0.058,0.05,0.05,0.01,0.01,0.00425922222222222,0.011667,0.0340737777777778,0.0340737777777778,0.00425922222222222,0.011667,0.05,0.058
23,0,0,0.043,0.043,0.03,0.03,0.009,0.009,0.00333333333333333,0,0.0266666666666667,0.0266666666666667,0.00333333333333333,0,0.03,0.043
24,0,0,0.023,0.023,0.01,0.01,0.001,0.001,0.00111111111111111,0,0.00888888888888889,0.00888888888888889,0.00111111111111111,0,0.01,0.023
